Program "PAW_protein_grouper.py" run on Wed Jul 17 11:41:51 2019


	=SUBTOTAL(109,B6:B2341)																																																																					
1163	1	XP_027450745.1	 	 	XP_027435738.1, XP_027450745.1	 	48.8	334	36652	L-lactate dehydrogenase B chain [Zalophus californianus]	200	179	0.895	12	9	7	22	11	3	7	23	10	15	17	3	6	12	4	9	17	11	2	11	8	6	21	9	2	6	23	9	14	16	2	4	11	3	8	15	10	1	11.688	8.688	6.688	21.688	10.377	2.688	6.688	23.000	9.688	14.688	16.688	2.688	5.377	11.688	3.688	8.688	16.377	10.688	1.688
1164	1	XP_027450764.1	 	 	 	 	14.3	238	25805	tetraspanin-8 [Zalophus californianus]	19	19	1.000	1	0	0	1	1	1	1	1	1	1	1	0	1	1	2	3	3	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	2	3	3	0	0	1.000	0.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	2.000	3.000	3.000	0.000	0.000
1165	1	XP_027450775.1 (+1)	XP_027450775.1&XP_027450776.1	 	 	 	16.1	242	27446	platelet-derived growth factor subunit B isoform X1 [Zalophus californianus]XP_027450774.1 platelet-derived growth factor subunit B isoform X1 [Zalophus californianus]	56	56	1.000	2	2	0	3	5	3	1	5	2	2	4	0	5	5	4	3	7	1	2	2	2	0	3	5	3	1	5	2	2	4	0	5	5	4	3	7	1	2	2.000	2.000	0.000	3.000	5.000	3.000	1.000	5.000	2.000	2.000	4.000	0.000	5.000	5.000	4.000	3.000	7.000	1.000	2.000
1166	1	XP_027450831.1 (+1)	XP_027450831.1&XP_027450832.1	 	XP_027450831.1, XP_027463351.1	 	14.7	652	72526	probable ATP-dependent RNA helicase DDX17 isoform X1 [Zalophus californianus]	10	9	0.900	2	0	0	0	1	0	0	1	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2.000	0.000	0.000	0.000	1.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	1.000	0.000
1167	1	XP_027450896.1	 	 	XP_027426852.1, XP_027450896.1, XP_027473267.1	 	21.0	894	103780	alpha-actinin-2 isoform X1 [Zalophus californianus]	45	9	0.200	5	6	0	1	4	2	1	5	4	5	0	0	3	2	0	0	2	5	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1.147	0.000	0.000	0.000	2.364	0.000	0.000	0.000	1.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000
1168	1	XP_027450967.1	 	 	 	 	35.9	287	30808	uroplakin-3a isoform X1 [Zalophus californianus]	27	27	1.000	6	3	3	1	0	0	1	0	0	0	5	0	1	0	5	0	0	0	2	6	3	3	1	0	0	1	0	0	0	5	0	1	0	5	0	0	0	2	6.000	3.000	3.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	5.000	0.000	1.000	0.000	5.000	0.000	0.000	0.000	2.000
1169	1	XP_027450975.1	 	 	 	 	58.1	298	32479	syntenin-1 [Zalophus californianus]XP_027467876.1 syntenin-1 isoform X1 [Zalophus californianus]	149	149	1.000	3	8	6	18	6	3	7	13	12	3	7	1	6	10	15	8	21	2	0	3	8	6	18	6	3	7	13	12	3	7	1	6	10	15	8	21	2	0	3.000	8.000	6.000	18.000	6.000	3.000	7.000	13.000	12.000	3.000	7.000	1.000	6.000	10.000	15.000	8.000	21.000	2.000	0.000
1170	1	XP_027450979.1	 	 	 	 	12.3	155	17723	microsomal glutathione S-transferase 1 [Zalophus californianus]XP_027450978.1 microsomal glutathione S-transferase 1 [Zalophus californianus]	3	3	1.000	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000
1172	1	XP_027451002.1 (+1)	XP_027451002.1&XP_027451003.1	 	 	 	32.9	280	30744	angiopoietin-related protein 5-like isoform X1 [Zalophus californianus]	26	26	1.000	5	2	0	0	4	1	0	2	0	0	3	0	5	1	0	0	0	3	0	5	2	0	0	4	1	0	2	0	0	3	0	5	1	0	0	0	3	0	5.000	2.000	0.000	0.000	4.000	1.000	0.000	2.000	0.000	0.000	3.000	0.000	5.000	1.000	0.000	0.000	0.000	3.000	0.000
1173	1	XP_027451004.1	 	 	 	 	4.8	2813	310271	von Willebrand factor isoform X1 [Zalophus californianus]	17	17	1.000	1	0	4	2	2	1	0	0	1	0	0	1	0	0	0	2	1	2	0	1	0	4	2	2	1	0	0	1	0	0	1	0	0	0	2	1	2	0	1.000	0.000	4.000	2.000	2.000	1.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	2.000	1.000	2.000	0.000
1174	1	XP_027451011.1	 	 	 	 	19.5	154	17341	prefoldin subunit 5 [Zalophus californianus]XP_027440837.1 prefoldin subunit 5 [Zalophus californianus]	2	2	1.000	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1175	1	XP_027451046.1 (+1)	XP_027451046.1&XP_027451047.1	 	 	 	65.9	208	23836	rho GDP-dissociation inhibitor 2 isoform X1 [Zalophus californianus]	144	144	1.000	26	19	3	0	29	2	4	0	0	3	23	4	12	0	0	0	0	19	0	26	19	3	0	29	2	4	0	0	3	23	4	12	0	0	0	0	19	0	26.000	19.000	3.000	0.000	29.000	2.000	4.000	0.000	0.000	3.000	23.000	4.000	12.000	0.000	0.000	0.000	0.000	19.000	0.000
1176	1	XP_027451090.1	 	 	 	 	21.5	177	20198	coatomer subunit zeta-1 isoform X2 [Zalophus californianus]	3	3	1.000	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1177	1	XP_027451120.1	 	 	XP_027451120.1, XP_027464627.1	 	62.0	445	50398	rab GDP dissociation inhibitor beta [Zalophus californianus]	85	60	0.706	13	8	2	3	2	1	0	10	7	5	12	1	7	1	0	0	11	2	0	10	4	1	3	2	1	0	9	3	2	9	1	4	0	0	0	9	2	0	11.875	6.286	1.500	3.000	2.000	1.000	0.000	9.750	6.000	2.750	10.588	1.000	5.500	0.500	0.000	0.000	10.500	2.000	0.000
1178	1	XP_027451125.1 (+2)	XP_027451125.1&XP_027451126.1&XP_027451127.1	 	 	 	9.0	391	45364	nucleosome assembly protein 1-like 1 isoform X1 [Zalophus californianus]XP_027451124.1 nucleosome assembly protein 1-like 1 isoform X1 [Zalophus californianus]XP_027451123.1 nucleosome assembly protein 1-like 1 isoform X1 [Zalophus californianus]	6	6	1.000	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
1179	1	XP_027451188.1	 	 	 	 	20.9	115	13015	40S ribosomal protein S26 [Zalophus californianus]	3	3	1.000	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000
1180	1	XP_027451206.1 (+1)	XP_027451206.1&XP_027451207.1	 	 	 	58.4	197	22525	BH3-interacting domain death agonist isoform X1 [Zalophus californianus]	20	20	1.000	10	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	4	0	10	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	4	0	10.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	2.000	0.000	0.000	0.000	0.000	4.000	0.000
1181	1	XP_027451210.1	 	 	 	 	23.2	469	52650	tetratricopeptide repeat protein 38 [Zalophus californianus]	15	15	1.000	6	0	0	0	0	0	0	1	0	0	6	0	1	0	0	0	1	0	0	6	0	0	0	0	0	0	1	0	0	6	0	1	0	0	0	1	0	0	6.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	6.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000
1182	1	XP_027451215.1 (+7)	XP_027451215.1&XP_027451216.1&XP_027451217.1&XP_027451218.1&XP_027451219.1&XP_027451220.1&XP_027451221.1&XP_027451222.1	 	XP_027442179.1, XP_027451215.1	 	9.4	770	83261	ATP-dependent 6-phosphofructokinase, platelet type isoform X1 [Zalophus californianus]	11	2	0.182	5	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.000	0.500	0.000	0.000	0.000	0.000	0.000	0.500	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1183	1	XP_027451224.1	 	 	 	 	23.1	238	25728	CD63 antigen [Zalophus californianus]	39	39	1.000	2	3	1	1	2	2	2	4	8	2	2	0	3	2	0	3	1	0	1	2	3	1	1	2	2	2	4	8	2	2	0	3	2	0	3	1	0	1	2.000	3.000	1.000	1.000	2.000	2.000	2.000	4.000	8.000	2.000	2.000	0.000	3.000	2.000	0.000	3.000	1.000	0.000	1.000
1184	1	XP_027451239.1	 	 	 	 	19.5	149	16660	calmodulin-like [Zalophus californianus]	20	20	1.000	1	1	0	0	3	3	1	1	0	3	2	0	1	1	0	0	0	3	0	1	1	0	0	3	3	1	1	0	3	2	0	1	1	0	0	0	3	0	1.000	1.000	0.000	0.000	3.000	3.000	1.000	1.000	0.000	3.000	2.000	0.000	1.000	1.000	0.000	0.000	0.000	3.000	0.000
1185	1	XP_027451249.1	 	 	 	 	29.2	260	28988	BMP and activin membrane-bound inhibitor homolog [Zalophus californianus]	35	35	1.000	2	0	0	5	3	1	0	3	3	3	1	0	1	1	3	3	3	3	0	2	0	0	5	3	1	0	3	3	3	1	0	1	1	3	3	3	3	0	2.000	0.000	0.000	5.000	3.000	1.000	0.000	3.000	3.000	3.000	1.000	0.000	1.000	1.000	3.000	3.000	3.000	3.000	0.000
1186	1	XP_027451312.1	 	 	XP_027449924.1, XP_027451312.1	 	10.2	491	54395	complement C1r subcomponent-like protein [Zalophus californianus]	10	5	0.500	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0.000	0.000	0.000	0.000	1.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.200	0.000	0.000	0.000	2.000	1.143	0.000
1187	1	XP_027451334.1	 	 	 	 	11.3	194	20891	histone H1.0 [Zalophus californianus]	9	9	1.000	1	1	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0	1.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000
1188	1	XP_027451349.1	 	 	XP_027449924.1, XP_027451349.1	 	26.5	3620	397107	cubilin [Zalophus californianus]	541	540	0.998	14	2	0	83	18	4	7	67	43	42	0	0	3	45	33	71	104	5	0	14	2	0	83	18	4	7	66	43	42	0	0	3	45	33	71	104	5	0	14.000	2.000	0.000	83.000	18.000	4.000	7.000	67.000	43.000	42.000	0.000	0.000	3.000	45.000	33.000	71.000	104.000	5.000	0.000
1189	1	XP_027451372.1	 	 	 	 	3.2	691	73200	frizzled-8 [Zalophus californianus]	8	8	1.000	0	0	0	1	0	0	0	1	2	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	2	1	1	0	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	2.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000	1.000	0.000	0.000
1190	1	XP_027451406.1	 	 	 	 	33.9	322	36269	heme oxygenase 1 [Zalophus californianus]	40	40	1.000	10	4	0	0	7	0	0	0	0	8	3	0	1	0	0	0	0	7	0	10	4	0	0	7	0	0	0	0	8	3	0	1	0	0	0	0	7	0	10.000	4.000	0.000	0.000	7.000	0.000	0.000	0.000	0.000	8.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	7.000	0.000
1191	1	XP_027451451.1	 	 	 	 	35.0	523	59302	adenosine deaminase 2 isoform X1 [Zalophus californianus]XP_027451448.1 adenosine deaminase 2 isoform X1 [Zalophus californianus]XP_027451447.1 adenosine deaminase 2 isoform X1 [Zalophus californianus]XP_027451446.1 adenosine deaminase 2 isoform X1 [Zalophus californianus]XP_027451445.1 adenosine deaminase 2 isoform X1 [Zalophus californianus]	60	60	1.000	5	2	0	9	0	1	1	7	4	6	0	0	1	9	2	3	8	2	0	5	2	0	9	0	1	1	7	4	6	0	0	1	9	2	3	8	2	0	5.000	2.000	0.000	9.000	0.000	1.000	1.000	7.000	4.000	6.000	0.000	0.000	1.000	9.000	2.000	3.000	8.000	2.000	0.000
1192	1	XP_027451489.1	 	 	 	 	18.0	189	21059	heme-binding protein 1 [Zalophus californianus]	11	11	1.000	2	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	4	0	2	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	4	0	2.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000
1193	1	XP_027451520.1	 	 	 	 	68.2	110	12109	parvalbumin alpha [Zalophus californianus]XP_027451518.1 parvalbumin alpha [Zalophus californianus]	101	101	1.000	13	6	0	0	8	3	3	0	8	34	7	0	4	0	0	0	0	13	2	13	6	0	0	8	3	3	0	8	34	7	0	4	0	0	0	0	13	2	13.000	6.000	0.000	0.000	8.000	3.000	3.000	0.000	8.000	34.000	7.000	0.000	4.000	0.000	0.000	0.000	0.000	13.000	2.000
1194	1	XP_027451521.1	 	 	 	 	13.7	271	28909	aquaporin-2 [Zalophus californianus]	13	13	1.000	1	0	2	3	1	0	0	0	0	1	1	0	0	1	0	2	0	1	0	1	0	2	3	1	0	0	0	0	1	1	0	0	1	0	2	0	1	0	1.000	0.000	2.000	3.000	1.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	2.000	0.000	1.000	0.000
1195	1	XP_027451535.1	 	 	 	 	33.6	351	38218	inhibin beta E chain [Zalophus californianus]	36	36	1.000	1	7	0	0	12	0	3	0	0	0	12	1	0	0	0	0	0	0	0	1	7	0	0	12	0	3	0	0	0	12	1	0	0	0	0	0	0	0	1.000	7.000	0.000	0.000	12.000	0.000	3.000	0.000	0.000	0.000	12.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1196	1	XP_027451539.1	 	 	 	 	16.4	507	53552	arylsulfatase A [Zalophus californianus]XP_027451537.1 arylsulfatase A [Zalophus californianus]XP_027451536.1 arylsulfatase A [Zalophus californianus]	17	17	1.000	0	0	0	3	0	0	0	3	3	1	0	0	0	1	0	2	4	0	0	0	0	0	3	0	0	0	3	3	1	0	0	0	1	0	2	4	0	0	0.000	0.000	0.000	3.000	0.000	0.000	0.000	3.000	3.000	1.000	0.000	0.000	0.000	1.000	0.000	2.000	4.000	0.000	0.000
1197	1	XP_027451592.1	 	 	 	 	14.2	699	75100	SH3 domain-binding protein 1 isoform X1 [Zalophus californianus]	19	19	1.000	2	1	0	0	2	0	0	2	2	2	3	0	3	0	0	0	1	1	0	2	1	0	0	2	0	0	2	2	2	3	0	3	0	0	0	1	1	0	2.000	1.000	0.000	0.000	2.000	0.000	0.000	2.000	2.000	2.000	3.000	0.000	3.000	0.000	0.000	0.000	1.000	1.000	0.000
1198	1	XP_027451634.1	 	 	 	 	18.0	1241	135774	nidogen-1 [Zalophus californianus]	141	141	1.000	20	16	3	3	8	10	13	7	6	5	5	0	15	7	1	5	5	8	4	20	16	3	3	8	10	13	7	6	5	5	0	15	7	1	5	5	8	4	20.000	16.000	3.000	3.000	8.000	10.000	13.000	7.000	6.000	5.000	5.000	0.000	15.000	7.000	1.000	5.000	5.000	8.000	4.000
1199	1	XP_027451657.1 (+1)	XP_027451657.1&XP_027451658.1	 	 	 	21.8	1183	128829	vinculin isoform X1 [Zalophus californianus]	35	35	1.000	5	11	0	0	4	0	0	1	0	2	7	0	3	0	0	0	0	2	0	5	11	0	0	4	0	0	1	0	2	7	0	3	0	0	0	0	2	0	5.000	11.000	0.000	0.000	4.000	0.000	0.000	1.000	0.000	2.000	7.000	0.000	3.000	0.000	0.000	0.000	0.000	2.000	0.000
1200	1	XP_027451666.1 (+5)	XP_027451666.1&XP_027451667.1&XP_027451668.1&XP_027451669.1&XP_027451670.1&XP_027451671.1	 	 	 	9.9	362	40526	adenosine kinase isoform X1 [Zalophus californianus]	7	7	1.000	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000	0.000
1201	1	XP_027451720.1 (+1)	XP_027451720.1&XP_027451722.1	 	 	 	15.3	470	52358	pancreatic triacylglycerol lipase isoform X1 [Zalophus californianus]	6	6	1.000	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
1202	1	XP_027451781.1	 	 	 	 	50.3	294	31576	voltage-dependent anion-selective channel protein 2 [Zalophus californianus]	106	106	1.000	8	1	0	6	4	11	0	11	9	6	0	0	13	6	4	12	15	0	0	8	1	0	6	4	11	0	11	9	6	0	0	13	6	4	12	15	0	0	8.000	1.000	0.000	6.000	4.000	11.000	0.000	11.000	9.000	6.000	0.000	0.000	13.000	6.000	4.000	12.000	15.000	0.000	0.000
1203	1	XP_027451901.1	 	 	 	 	44.6	296	31793	myozenin-1 [Zalophus californianus]	33	33	1.000	2	1	0	0	3	2	2	0	4	1	2	2	1	0	0	0	2	10	1	2	1	0	0	3	2	2	0	4	1	2	2	1	0	0	0	2	10	1	2.000	1.000	0.000	0.000	3.000	2.000	2.000	0.000	4.000	1.000	2.000	2.000	1.000	0.000	0.000	0.000	2.000	10.000	1.000
1204	1	XP_027451954.1 (+1)	XP_027451954.1&XP_027451963.1	 	 	 	6.6	666	75256	mannosyl-oligosaccharide 1,2-alpha-mannosidase IC isoform X1 [Zalophus californianus]	7	7	1.000	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000
1205	1	XP_027451959.1 (+2)	XP_027451959.1&XP_027451960.1&XP_027451961.1	 	 	 	8.6	759	85866	inactive carboxypeptidase-like protein X2 isoform X1 [Zalophus californianus]	10	10	1.000	0	0	0	1	0	0	0	1	4	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	1	0	2	1	0	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	4.000	0.000	0.000	0.000	0.000	1.000	0.000	2.000	1.000	0.000	0.000
1206	1	XP_027451990.1 (+1)	XP_027451990.1&XP_027451991.1	 	 	 	22.8	426	47084	testican-2 isoform X1 [Zalophus californianus]	26	26	1.000	2	2	0	5	0	0	0	1	2	0	0	0	0	1	5	3	5	0	0	2	2	0	5	0	0	0	1	2	0	0	0	0	1	5	3	5	0	0	2.000	2.000	0.000	5.000	0.000	0.000	0.000	1.000	2.000	0.000	0.000	0.000	0.000	1.000	5.000	3.000	5.000	0.000	0.000
1207	1	XP_027452001.1	 	 	 	 	49.0	104	12013	pterin-4-alpha-carbinolamine dehydratase [Zalophus californianus]	9	9	1.000	1	0	0	1	0	0	0	0	1	0	4	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	4	0	0	1	0	0	1	0	0	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	4.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000
1208	1	XP_027452072.1 (+2)	XP_027452072.1&XP_027452073.1&XP_027452074.1	 	 	 	5.8	917	102526	hexokinase-1 isoform X1 [Zalophus californianus]	5	5	1.000	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000
1209	1	XP_027452080.1	 	 	 	 	31.8	324	36793	protein FAM49B isoform X3 [Zalophus californianus]	16	16	1.000	5	3	0	0	2	0	0	0	0	1	1	1	1	0	0	0	0	2	0	5	3	0	0	2	0	0	0	0	1	1	1	1	0	0	0	0	2	0	5.000	3.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	2.000	0.000
1210	1	XP_027452089.1 (+1)	XP_027452089.1&XP_027452090.1	 	 	 	20.8	288	31855	phenazine biosynthesis-like domain-containing protein isoform X1 [Zalophus californianus]	7	7	1.000	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	2.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000
1211	1	XP_027452096.1	 	 	 	 	51.6	289	32686	inorganic pyrophosphatase [Zalophus californianus]	45	45	1.000	12	1	0	0	2	1	0	1	2	1	19	0	2	0	0	0	1	3	0	12	1	0	0	2	1	0	1	2	1	19	0	2	0	0	0	1	3	0	12.000	1.000	0.000	0.000	2.000	1.000	0.000	1.000	2.000	1.000	19.000	0.000	2.000	0.000	0.000	0.000	1.000	3.000	0.000
1212	1	XP_027452101.1 (+2)	XP_027452101.1&XP_027452102.1&XP_027452104.1	 	 	 	14.1	334	37318	glutaredoxin-3 isoform X1 [Zalophus californianus]	6	6	1.000	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1213	1	XP_027452131.1 (+4)	XP_027452131.1&XP_027452133.1&XP_027452134.1&XP_027452135.1&XP_027452136.1	 	 	 	5.0	920	100166	disintegrin and metalloproteinase domain-containing protein 12 isoform X1 [Zalophus californianus]	3	3	1.000	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1214	1	XP_027452150.1	 	 	 	 	3.7	725	79248	NHL repeat-containing protein 2 [Zalophus californianus]	3	3	1.000	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1215	1	XP_027452152.1	 	 	XP_027452152.1, XP_027452153.1	 	36.2	578	61248	BAG family molecular chaperone regulator 3 isoform X1 [Zalophus californianus]	50	5	0.100	7	3	0	0	10	0	0	0	1	2	12	0	3	0	1	1	0	10	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7.000	0.000	0.000	0.000	3.250	0.000	0.000	0.000	0.500	1.000	12.000	0.000	1.500	0.000	0.500	0.500	0.000	5.000	0.000
1216	1	XP_027452153.1	 	 	XP_027452152.1, XP_027452153.1	 	36.0	577	61119	BAG family molecular chaperone regulator 3 isoform X2 [Zalophus californianus]	50	5	0.100	6	5	0	0	12	0	0	0	1	2	9	0	3	0	1	1	0	10	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	5.000	0.000	0.000	9.750	0.000	0.000	0.000	0.500	1.000	0.000	0.000	1.500	0.000	0.500	0.500	0.000	5.000	0.000
1217	1	XP_027452190.1 (+1)	XP_027452190.1&XP_027452198.1	 	 	 	39.3	483	53049	6-phosphogluconate dehydrogenase, decarboxylating isoform X1 [Zalophus californianus]	40	40	1.000	9	10	1	0	1	1	0	0	1	0	6	1	7	0	0	0	1	1	1	9	10	1	0	1	1	0	0	1	0	6	1	7	0	0	0	1	1	1	9.000	10.000	1.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	6.000	1.000	7.000	0.000	0.000	0.000	1.000	1.000	1.000
1218	1	XP_027452251.1 (+1)	XP_027452251.1&XP_027452252.1	 	 	 	16.7	492	52274	serine protease HTRA1 isoform X1 [Zalophus californianus]	36	36	1.000	2	1	2	3	1	1	1	5	2	1	1	1	1	2	4	2	5	1	0	2	1	2	3	1	1	1	5	2	1	1	1	1	2	4	2	5	1	0	2.000	1.000	2.000	3.000	1.000	1.000	1.000	5.000	2.000	1.000	1.000	1.000	1.000	2.000	4.000	2.000	5.000	1.000	0.000
1219	1	XP_027452298.1	 	 	XP_027452298.1, XP_027456154.1	 	32.9	504	54350	annexin A11 [Zalophus californianus]XP_027452297.1 annexin A11 [Zalophus californianus]	112	97	0.866	9	13	4	3	4	4	0	12	16	7	6	0	14	3	3	1	12	0	1	8	12	4	2	4	4	0	11	15	6	5	0	11	2	2	0	11	0	0	8.381	12.667	4.000	2.500	4.000	4.000	0.000	11.917	15.938	6.545	5.263	0.000	12.269	3.000	3.000	0.000	12.000	0.000	0.500
1220	1	XP_027452390.1	 	 	 	 	27.4	241	27767	glutathione S-transferase omega-1 [Zalophus californianus]	16	16	1.000	3	0	0	0	0	0	0	0	0	6	5	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	6	5	0	1	0	0	0	1	0	0	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.000	5.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000
1221	1	XP_027452391.1	 	 	 	 	83.1	201	22989	retinol-binding protein 4 [Zalophus californianus]	3354	3353	1.000	395	307	71	104	430	297	236	70	56	151	214	67	545	114	84	24	24	82	83	395	307	71	104	430	297	236	70	56	151	214	67	544	114	84	24	24	82	83	395.000	307.000	71.000	104.000	430.000	297.000	236.000	70.000	56.000	151.000	214.000	67.000	544.993	114.000	84.000	24.000	24.000	82.000	83.000
